ST,TYPE,year,clsrmnths_mean,eligmnths_mean,ipemnths_mean,clsrmnths_sd,eligmnths_sd,ipemnths_sd,clsrmnths_median,eligmnths_median,ipemnths_median,clsrmnths_min,eligmnths_min,ipemnths_min,clsrmnths_max,eligmnths_max,ipemnths_max
North Carolina,Blind,2008,25.59710725,24.9599466,23.56893636,26.40199074,26.24828299,24.65796564,15.96666667,15.4,14.53333333,1.766666667,1.766666667,0,207.9333333,207.0333333,207.0333333
North Carolina,Blind,2009,26.51185185,25.94151852,24.7197037,25.89665958,25.79795191,24.76291316,16.56666667,15.95,15.56666667,3.133333333,2.233333333,0,215.8666667,214.9333333,214.9333333
North Carolina,Blind,2010,23.08713911,22.45966754,21.41286089,23.05144306,23.03753374,21.85227947,15.31666667,14.75,14.33333333,1.5,0.833333333,0,189.3333333,188.4,188.4
North Carolina,Blind,2011,26.55236806,25.8962562,24.67857465,28.39130917,28.28589327,26.53048815,17.26666667,16.36666667,16.13333333,3.733333333,3.7,1.666666667,201.6666667,200.0666667,200.0666667
North Carolina,General,2008,27.76087613,26.4926947,24.75883266,23.58358952,23.40940814,22.81137053,20.5,19.13333333,17.23333333,0.433333333,0,0,226.3666667,218.2,184.7666667
North Carolina,General,2009,28.54858757,27.25400118,25.53533182,23.44725794,23.35652263,22.96673919,21.26666667,19.83333333,17.93333333,0.9,0.166666667,0,203.2666667,201.9,201.9
North Carolina,General,2010,28.81322073,27.45418435,25.62509478,23.36998931,23.26515306,22.76090988,22.13333333,20.73333333,18.8,0.133333333,0,0,261.3,256.4333333,256.4333333
North Carolina,General,2011,30.08636144,28.70801494,26.79667365,24.00382853,23.87918085,23.29345302,23.83333333,22.33333333,20.48333333,0.066666667,0.066666667,0,250.6333333,248.1333333,234.6333333
North Dakota,Combined,2008,30.91885057,29.63520115,25.53425287,25.13758115,24.94504379,23.91129344,25.13333333,23.23333333,18.81666667,3.1,2.666666667,1.7,191.8666667,184.9333333,184.9333333
North Dakota,Combined,2009,30.80719603,29.50504549,25.86903777,27.35068717,27.16684518,25.72390985,22.1,20.43333333,16.96666667,2.533333333,1.8,0.966666667,208.2666667,198.9333333,163.9
North Dakota,Combined,2010,30.37644411,29.0871968,24.88917229,27.93679392,27.78147203,26.37891407,21.06666667,19.63333333,15.26666667,2.533333333,1.9,1.1,253.3333333,247.5,247.3333333
